ID	Phase	Task Name	Owner	Status	Priority	Start Date	Due Date	Completed	Days Left	Blocker	Notes	Dependencies
88	Phase 0: Reboot	Register domain (drinkpoptop.com or getpoptop.com)	Alex Munn	Not Started	High	2/6/2026	2/10/2026			Verify availability on Namecheap first
89	Phase 2: Brand	Set up free landing page (Carrd or Mailchimp)	Paul Giarrizzo	Not Started	High	2/10/2026	2/17/2026			Coming soon page, email capture	88
90	Phase 2: Brand	Write landing page copy (headline, value prop, CTA)	Paul Giarrizzo	Not Started	High	2/10/2026	2/14/2026			Keep simple: what it is, why it matters, join waitlist
91	Phase 2: Brand	Create placeholder logo/wordmark for landing page	Paul Giarrizzo	Not Started	Medium	2/10/2026	2/17/2026			Temporary until final logo
92	Phase 2: Brand	Set up Mailchimp account for email list	Paul Giarrizzo	Not Started	High	2/10/2026	2/14/2026			Free tier sufficient initially
93	Phase 2: Brand	Create welcome email sequence (3 emails)	Paul Giarrizzo	Not Started	Medium	2/17/2026	2/28/2026			Welcome, brand story, stay tuned	92
94	Phase 2: Brand	Launch landing page live	Paul Giarrizzo	Not Started	High	2/17/2026	2/21/2026			Goal: live before end of Feb	89,90,91,92
95	Phase 2: Brand	Set up Google Analytics on landing page	Paul Giarrizzo	Not Started	Medium	2/21/2026	2/24/2026			Track traffic, conversions	94
96	Phase 2: Brand	Share landing page URL with network for initial signups	Paul Giarrizzo	Not Started	Medium	2/24/2026	2/28/2026			Friends, family, early advocates	94
97	Phase 2: Brand	Entity formation decision (LLC vs S-Corp)	Paul Giarrizzo	Not Started	High	2/13/2026	2/20/2026			Discuss with Alex, may need accountant input
98	Phase 2: Brand	File LLC formation (Indiana or Delaware)	Paul Giarrizzo	Not Started	High	2/20/2026	2/27/2026			Use LegalZoom or attorney	97
99	Phase 2: Brand	Obtain EIN from IRS	Paul Giarrizzo	Not Started	High	2/27/2026	3/3/2026			Free, online application	98
100	Phase 2: Brand	Open business bank account	Paul Giarrizzo	Not Started	High	3/3/2026	3/10/2026			Need EIN and LLC docs	99
101	Phase 2: Brand	Set up QuickBooks Online account	Paul Giarrizzo	Not Started	Medium	3/10/2026	3/17/2026			Simple Start plan sufficient initially	100
102	Phase 2: Brand	Create chart of accounts in QBO	Paul Giarrizzo	Not Started	Medium	3/17/2026	3/24/2026			Revenue, COGS, expenses, assets	101
103	Phase 2: Brand	Set up invoicing templates in QBO	Paul Giarrizzo	Not Started	Low	3/24/2026	3/31/2026			For distributor/wholesale orders	101
104	Phase 2: Brand	Research sales tax requirements (nexus states)	Paul Giarrizzo	Not Started	Medium	3/17/2026	3/31/2026			Indiana + states where you sell
105	Phase 2: Brand	Set up sales tax collection (TaxJar or Shopify native)	Paul Giarrizzo	Not Started	Medium	6/26/2026	7/10/2026			Integrate with Shopify	104
106	Phase 2: Brand	Obtain business insurance quote (product liability)	Paul Giarrizzo	Not Started	Medium	3/10/2026	3/24/2026			Required for CLC, distributors	98
107	Phase 2: Brand	Purchase business insurance policy	Paul Giarrizzo	Not Started	Medium	3/24/2026	4/7/2026			Product liability + general	106
108	Phase 5: GTM	Create Shopify account	Paul Giarrizzo	Not Started	High	6/19/2026	6/22/2026			Basic plan $29/mo
109	Phase 5: GTM	Purchase and connect custom domain to Shopify	Paul Giarrizzo	Not Started	High	6/22/2026	6/24/2026			drinkpoptop.com or getpoptop.com	88,108
110	Phase 5: GTM	Select and customize Shopify theme	Paul Giarrizzo	Not Started	High	6/22/2026	6/30/2026			Free theme fine initially; clean, premium look	108
111	Phase 5: GTM	Set up Stripe payment processing	Paul Giarrizzo	Not Started	High	6/24/2026	6/28/2026			Connect to Shopify	108
112	Phase 5: GTM	Configure shipping rates and zones	Paul Giarrizzo	Not Started	High	6/28/2026	7/3/2026			USPS, UPS rates; free shipping threshold?	108
113	Phase 5: GTM	Create product listings (each SKU)	Paul Giarrizzo	Not Started	High	7/17/2026	7/24/2026			Need final product photos	108
114	Phase 5: GTM	Write product descriptions and specs	Paul Giarrizzo	Not Started	High	7/17/2026	7/24/2026			Features, dimensions, materials, care
115	Phase 5: GTM	Arrange product photography shoot	Paul Giarrizzo	Not Started	High	7/10/2026	7/17/2026			Lifestyle + product shots
116	Phase 5: GTM	Edit and optimize product photos	Paul Giarrizzo	Not Started	Medium	7/17/2026	7/21/2026			White background + in-use shots	115
117	Phase 5: GTM	Set up abandoned cart email sequence	Paul Giarrizzo	Not Started	Medium	7/24/2026	7/31/2026			Klaviyo or Shopify native	108
118	Phase 5: GTM	Set up post-purchase email sequence	Paul Giarrizzo	Not Started	Medium	7/24/2026	7/31/2026			Thank you, shipping update, review request	108
119	Phase 5: GTM	Create FAQ page	Paul Giarrizzo	Not Started	Medium	7/24/2026	7/31/2026			Shipping, returns, product care, sizing
120	Phase 5: GTM	Create About Us page	Paul Giarrizzo	Not Started	Medium	7/24/2026	7/31/2026			Brand story, team, mission
121	Phase 5: GTM	Create Contact page with support email	Paul Giarrizzo	Not Started	Medium	7/24/2026	7/28/2026			support@drinkpoptop.com or similar
122	Phase 5: GTM	Set up returns/refund policy page	Paul Giarrizzo	Not Started	High	7/24/2026	7/28/2026			Clear policy required
123	Phase 5: GTM	Install Google Analytics 4 on Shopify	Paul Giarrizzo	Not Started	High	7/28/2026	7/31/2026			E-commerce tracking enabled	108
124	Phase 5: GTM	Install Facebook/Meta Pixel	Paul Giarrizzo	Not Started	Medium	7/28/2026	7/31/2026			For retargeting ads later	108
125	Phase 5: GTM	Test full checkout flow (place test order)	Paul Giarrizzo	Not Started	High	7/31/2026	8/3/2026			End-to-end test before launch	108,111,112,113
126	Phase 5: GTM	Connect Shopify to 3PL for fulfillment	Paul Giarrizzo	Not Started	High	8/7/2026	8/14/2026			ShipBob, Deliverr, or similar	108
127	Phase 5: GTM	Migrate email list from Mailchimp to Klaviyo (if switching)	Paul Giarrizzo	Not Started	Low	7/24/2026	7/31/2026			Optional; Klaviyo better for e-commerce	92
128	Phase 5: GTM	Create social media content calendar (Aug-Nov)	Paul Giarrizzo	Not Started	High	7/24/2026	8/7/2026			Weekly posting schedule
129	Phase 5: GTM	Develop brand voice/tone guidelines	Paul Giarrizzo	Not Started	Medium	7/10/2026	7/17/2026			Fun, premium, tailgate culture
130	Phase 5: GTM	Create 20 social media posts (bank content)	Paul Giarrizzo	Not Started	High	8/7/2026	8/21/2026			Mix of product, lifestyle, football culture	128
131	Phase 5: GTM	Identify 50 tailgate/college football influencers	Paul Giarrizzo	Not Started	Medium	7/17/2026	7/31/2026			Instagram, TikTok focus
