ID	Phase	Task Name	Owner	Status	Priority	Start Date	Due Date	Completed	Days Left	Blocker	Notes	Dependencies
1	Phase 0: Reboot	Thursday standing call (reboot meeting)	Paul Giarrizzo	In Progress	High	2/4/2026	2/6/2026			Agenda prepared
2	Phase 0: Reboot	Confirm team commitment (all members)	Paul Giarrizzo	Not Started	High	2/6/2026	2/13/2026			Discuss at Thu call	1
3	Phase 0: Reboot	Brian: sign royalty agreement	Brian Williams	Not Started	High	2/6/2026	2/13/2026			5% royalty, two options	1
4	Phase 0: Reboot	Alex: confirm capital for Phase 1-2	Alex Munn	Not Started	High	2/6/2026	2/13/2026			$20-30K initial need	1
5	Phase 0: Reboot	Contact Ross - update & re-engage	Paul Giarrizzo	Not Started	High	2/6/2026	2/8/2026			Not on Thu call, needs separate update	1
6	Phase 0: Reboot	Establish recurring Thursday standing call	Paul Giarrizzo	Not Started	High	2/6/2026	2/6/2026			Send calendar invite after first call	1
7	Phase 0: Reboot	Set up team communication channel	Whitney Sanchez	Not Started	Medium	2/6/2026	2/13/2026			Text group, Slack, or Discord	1
8	Phase 0: Reboot	Deploy Google Sheets Command Center	Paul Giarrizzo	Complete	High	2/4/2026	2/6/2026	2/4/2026		Dashboard live
9	Phase 0: Reboot	Share dashboard + docs with team	Paul Giarrizzo	Not Started	High	2/6/2026	2/8/2026			Send after Thu call	1,8
10	Phase 0: Reboot	USPTO trademark search for PopTop	Paul Giarrizzo	Complete	High	2/3/2026	2/6/2026	2/3/2026		See 02-Legal-IP/trademark-domain-research report
11	Phase 0: Reboot	Check domain availability (PopTop.com + alts)	Paul Giarrizzo	Complete	Medium	2/3/2026	2/6/2026	2/3/2026		poptop.com for sale; drinkpoptop.com likely available
12	Phase 0: Reboot	Verify Bishop filing status at tsdr.uspto.gov (Serial No. 87271968)	Alex Munn	Not Started	High	2/4/2026	2/8/2026			Direct Class 21 conflict -- drinkware	10
13	Phase 0: Reboot	Send trademark research to Jeff Johnson for legal assessment	Paul Giarrizzo	Not Started	High	2/6/2026	2/10/2026				10,12
14	Phase 0: Reboot	Register best available domain (drinkpoptop.com or getpoptop.com)	Alex Munn	Not Started	High	2/6/2026	2/10/2026				11
15	Phase 0: Reboot	Prepare 2-3 backup brand names	Paul Giarrizzo	Not Started	High	2/6/2026	2/13/2026			In case attorney flags trademark issues	12,13
16	Phase 0: Reboot	Secure social media handles (matching domain)	Whitney Sanchez	Not Started	Medium	2/10/2026	2/17/2026			IG, TikTok, X, Facebook	14
17	Phase 1: Design	Review existing CAD files, assess current state	Brian Williams	Not Started	High	2/9/2026	2/13/2026			STEP/STL/SLDASM files exist
